,Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Machine Failure
5640,L,302.6,312.1,1420,51.6,182,0
5641,L,302.6,312.1,1473,37.3,184,0
5642,L,302.5,312.0,1495,38.8,186,0
5643,L,302.5,312.0,1574,42.0,188,0
5644,L,302.5,312.0,1383,51.3,190,0
5645,M,302.5,312.0,1591,29.4,192,0
5646,M,302.4,311.8,1644,37.2,195,0
5647,H,302.5,311.8,2370,14.7,198,0
5648,L,302.5,311.9,1401,44.9,203,0
5649,M,302.5,311.9,1414,51.6,205,0
5650,L,302.5,312.0,1456,46.3,208,0
5651,M,302.5,312.0,1447,45.7,210,0
5652,L,302.4,311.8,1727,26.5,213,0
5653,L,302.4,311.7,1495,36.8,215,0
5654,L,302.3,311.6,1544,34.3,0,0
5655,L,302.3,311.5,1387,47.3,2,0
5656,M,302.3,311.5,1316,47.2,4,0
5657,L,302.3,311.5,1794,26.1,7,0
5658,M,302.2,311.4,1372,55.1,9,0
5659,M,302.3,311.5,1674,30.0,12,0
5660,L,302.2,311.4,1477,41.7,15,0
5661,L,302.2,311.4,1397,53.0,17,0
5662,L,302.2,311.5,1616,34.0,19,0
5663,M,302.3,311.5,1530,42.3,21,0
5664,M,302.2,311.4,1539,35.1,24,0
5665,L,302.3,311.4,1845,21.9,27,0
5666,L,302.2,311.4,1430,43.1,29,0
5667,L,302.2,311.4,2080,19.2,31,0
5668,M,302.2,311.4,1432,45.3,33,0
5669,M,302.2,311.5,1479,39.5,36,0
5670,L,302.2,311.5,1424,45.2,39,0
5671,H,302.2,311.6,1534,37.2,41,0
5672,H,302.1,311.6,1701,26.2,46,0
5673,L,302.2,311.6,1462,50.0,51,0
5674,M,302.2,311.7,1393,42.5,53,0
5675,M,302.3,311.7,1453,42.5,56,0
5676,L,302.3,311.8,1565,37.8,59,0
5677,L,302.3,311.8,1281,51.7,61,0
5678,M,302.2,311.7,1584,36.2,63,0
5679,M,302.2,311.7,1466,49.0,66,0
5680,M,302.2,311.6,1386,50.5,69,0
5681,L,302.2,311.6,1383,44.3,72,0
5682,H,302.3,311.6,1441,53.9,74,0
5683,M,302.2,311.6,1592,37.7,79,0
5684,H,302.2,311.6,1594,36.8,82,0
5685,L,302.2,311.5,1482,45.6,87,0
5686,L,302.2,311.6,1658,31.4,89,0
5687,L,302.3,311.7,2170,18.2,91,0
5688,M,302.3,311.7,1423,44.6,93,0
5689,L,302.4,311.8,1543,31.1,96,0
5690,L,302.3,311.8,1435,44.8,98,0
5691,L,302.4,311.8,1320,56.4,100,0
5692,M,302.4,311.9,1313,55.7,102,0
5693,M,302.4,311.8,1453,42.1,105,0
5694,L,302.4,311.8,1508,45.7,108,0
5695,L,302.4,311.8,1451,42.0,110,0
5696,H,302.5,311.9,1595,34.6,112,0
5697,L,302.5,311.9,1354,49.4,117,0
5698,L,302.5,311.9,1265,59.8,119,0
5699,L,302.4,311.9,1867,25.9,121,0
5700,L,302.5,311.9,1497,41.6,123,0
5701,M,302.5,311.9,1347,54.3,125,0
5702,L,302.3,311.7,1544,43.2,128,0
5703,H,302.3,311.7,1456,45.4,130,0
5704,L,302.5,311.8,1335,52.7,135,0
5705,L,302.4,311.9,1452,43.1,137,0
5706,L,302.4,311.9,1290,70.0,139,1
5707,L,302.4,311.8,1448,43.4,141,0
5708,L,302.3,311.7,1611,38.6,143,0
5709,L,302.2,311.7,1556,38.6,145,0
5710,H,302.2,311.7,1413,46.5,147,0
5711,L,302.2,311.6,1545,35.9,152,0
5712,L,302.2,311.7,1330,54.6,154,0
5713,L,302.2,311.9,1596,38.0,156,0
5714,L,302.2,311.8,1618,36.0,158,0
5715,H,302.2,311.9,1597,35.8,160,0
5716,L,302.3,312.0,1354,52.2,165,0
5717,L,302.3,312.0,1746,28.1,167,0
5718,L,302.4,312.0,1621,32.5,169,0
5719,L,302.3,312.0,1398,43.3,171,0
5720,L,302.3,311.9,1434,51.9,173,0
5721,M,302.3,311.8,1443,43.4,175,0
5722,L,302.2,311.7,1488,44.6,178,0
5723,M,302.3,311.8,1475,48.0,180,0
5724,L,302.3,311.8,1433,50.3,183,0
5725,M,302.3,311.8,1557,34.1,185,0
5726,M,302.4,311.9,1398,50.1,188,0
5727,M,302.3,311.8,1559,34.4,191,0
5728,M,302.4,311.9,1422,46.4,194,0
5729,M,302.3,311.8,1463,35.7,197,0
5730,L,302.3,311.7,1793,25.3,200,0
5731,L,302.2,311.6,1872,20.4,202,0
5732,L,302.2,311.7,1412,44.5,204,0
5733,L,302.3,311.8,1487,43.2,206,0
5734,L,302.3,311.8,1369,56.2,208,1
5735,L,302.4,311.8,1673,30.1,210,0
5736,M,302.4,311.9,1439,36.6,212,0
5737,L,302.3,311.8,1574,42.8,215,0
5738,L,302.3,311.7,1281,48.8,0,0
5739,M,302.2,311.7,1653,31.4,2,0
5740,M,302.3,311.7,1535,38.3,5,0
5741,M,302.3,311.7,1483,40.5,8,0
5742,L,302.3,311.7,1414,47.0,11,0
5743,M,302.2,311.6,1379,42.9,13,0
5744,H,302.2,311.5,1482,42.6,16,0
5745,L,302.1,311.5,1987,20.1,21,0
5746,M,302.1,311.5,1635,31.6,23,0
5747,L,302.1,311.5,1533,39.4,26,0
5748,M,302.2,311.7,1576,34.0,28,0
5749,H,302.2,311.8,1330,62.4,31,0
5750,L,302.2,311.8,1981,21.8,36,0
5751,H,302.3,311.8,1475,42.8,38,0
5752,H,302.3,311.8,1804,25.0,43,0
5753,L,302.2,311.6,1416,54.1,48,0
5754,L,302.1,311.5,1727,27.7,50,0
5755,L,302.1,311.4,1391,49.2,52,0
5756,M,302.0,311.5,1366,52.3,54,0
5757,L,301.9,311.3,1366,55.6,57,0
5758,L,301.9,311.3,1501,40.8,59,0
5759,L,301.8,311.3,1551,35.8,61,0
5760,M,301.9,311.3,1522,35.6,63,0
5761,L,301.9,311.2,1369,49.8,66,0
5762,L,301.8,311.2,1334,52.3,68,0
5763,H,301.8,311.2,1451,39.4,70,0
5764,L,301.7,311.2,1589,37.9,75,0
5765,L,301.7,311.3,1708,30.5,77,0
5766,M,301.7,311.2,1413,42.6,79,0
5767,M,301.6,311.2,1415,46.5,82,0
5768,L,301.7,311.3,1421,45.9,85,0
5769,L,301.7,311.3,1348,51.0,87,0
5770,L,301.6,311.2,1408,42.9,89,0
5771,L,301.6,311.2,1525,43.7,91,0
5772,L,301.6,311.3,1706,29.9,93,0
5773,H,301.6,311.2,1395,46.8,95,0
5774,L,301.5,311.1,1602,34.3,100,0
5775,L,301.6,311.1,1907,21.5,102,0
5776,L,301.6,311.1,1325,49.2,104,0
5777,L,301.6,311.1,1408,44.4,106,0
5778,M,301.7,311.1,1489,41.4,108,0
5779,L,301.6,311.1,1680,29.2,111,0
5780,L,301.7,311.2,1517,42.4,113,0
5781,M,301.7,311.1,1618,36.7,115,0
5782,L,301.7,311.1,1455,39.8,118,0
5783,H,301.8,311.1,1543,36.4,120,0
5784,M,301.8,311.1,1399,41.8,125,0
5785,L,301.7,311.1,1469,37.2,128,0
5786,L,301.7,311.2,1521,36.7,130,0
5787,L,301.7,311.3,1584,38.8,132,0
5788,L,301.8,311.5,1443,43.3,134,0
5789,M,301.8,311.5,1416,49.0,136,0
5790,M,301.7,311.2,1563,34.5,139,0
5791,M,301.8,311.3,1542,40.1,142,0
5792,M,301.8,311.3,1624,31.6,145,0
5793,L,301.8,311.3,1471,44.2,148,0
5794,M,301.9,311.5,1492,40.8,150,0
5795,M,301.9,311.4,1465,39.9,153,0
5796,L,301.7,311.1,1399,55.1,156,0
5797,L,301.6,311.0,1431,42.6,158,0
5798,L,301.5,310.9,1600,39.0,160,0
5799,L,301.5,310.8,1593,34.5,162,0
5800,L,301.5,310.9,1469,44.7,164,0
5801,L,301.5,310.8,1413,44.6,166,0
5802,L,301.4,310.8,1490,38.0,168,0
5803,L,301.5,310.9,1671,31.1,170,0
5804,L,301.5,310.9,1365,46.5,172,0
5805,M,301.4,310.9,1557,39.3,174,0
5806,L,301.4,310.9,1440,45.4,177,0
5807,M,301.4,310.9,1489,38.9,179,0
5808,L,301.4,311.0,1733,25.7,182,0
5809,H,301.3,311.0,1580,36.6,184,0
5810,L,301.3,311.0,1856,21.9,189,0
5811,L,301.3,311.1,1454,40.3,191,0
5812,L,301.4,311.1,1495,36.3,193,0
5813,L,301.2,311.0,1761,29.1,195,0
5814,M,301.3,311.0,1402,47.5,197,0
5815,L,301.2,311.0,1670,33.0,200,0
5816,L,301.3,311.0,1582,35.6,202,0
5817,L,301.3,311.0,1542,35.1,204,0
5818,L,301.3,311.0,1539,36.9,206,0
5819,L,301.3,311.0,1418,41.9,208,0
5820,L,301.3,311.1,1723,27.6,210,0
5821,L,301.3,311.1,1303,49.2,212,0
5822,M,301.3,311.0,1463,50.2,214,0
5823,L,301.2,311.0,1544,39.3,217,0
5824,L,301.2,311.0,1596,37.2,219,0
5825,L,301.3,311.1,1413,42.0,221,0
5826,M,301.3,311.1,1492,41.2,223,0
5827,L,301.3,311.1,1624,40.9,0,0
5828,L,301.3,311.1,1504,39.1,2,0
5829,M,301.2,311.1,1574,34.3,4,0
5830,M,301.3,311.2,1438,42.4,7,0
5831,L,301.3,311.3,1474,50.7,10,0
5832,L,301.3,311.2,1675,32.1,12,0
5833,L,301.3,311.2,1457,44.5,14,0
5834,L,301.3,311.3,1434,49.8,16,0
5835,L,301.3,311.2,1668,30.1,18,0
5836,L,301.2,311.1,1550,39.7,20,0
5837,M,301.3,311.1,1834,25.4,22,0
5838,M,301.4,311.2,1476,36.5,25,0
5839,M,301.4,311.2,1541,36.3,28,0
5840,M,301.3,311.1,1581,30.9,31,0
5841,M,301.3,311.1,1678,30.7,34,0
5842,L,301.4,311.2,1355,50.6,37,0
5843,L,301.5,311.2,1700,28.8,39,0
5844,L,301.4,311.1,1462,37.1,41,0
5845,M,301.4,311.2,1727,26.5,43,0
5846,L,301.4,311.3,1674,33.3,46,0
5847,L,301.4,311.3,1397,42.3,48,0
5848,L,301.4,311.3,2323,15.9,50,0
5849,M,301.4,311.2,1434,47.6,52,0
5850,L,301.3,311.1,1560,35.3,55,0
5851,L,301.2,311.0,1573,32.8,57,0
5852,H,301.2,310.9,1798,22.3,59,0
5853,L,301.2,311.0,1567,35.1,64,0
5854,L,301.2,310.9,1416,53.3,66,0
5855,M,301.2,310.9,1424,45.2,68,0
5856,H,301.2,310.9,1598,35.9,71,0
5857,L,301.3,310.9,1760,23.9,76,0
5858,L,301.3,311.0,1348,44.5,78,0
5859,L,301.3,311.0,1542,33.6,80,0
5860,L,301.3,310.9,1566,33.1,82,0
5861,L,301.3,311.0,1554,47.7,84,0
5862,L,301.4,311.0,1470,40.6,86,0
5863,M,301.4,311.1,1758,25.4,88,0
5864,M,301.4,311.0,1486,36.5,91,0
5865,M,301.5,311.1,1402,40.0,94,0
5866,L,301.5,311.1,1459,45.1,97,0
5867,L,301.5,311.0,1494,45.3,99,0
5868,L,301.5,311.1,1731,27.9,101,0
5869,L,301.5,311.1,2076,18.7,103,0
5870,L,301.5,311.1,2055,16.8,105,0
5871,L,301.5,311.1,1469,49.5,107,0
5872,M,301.5,311.0,1504,42.6,109,0
5873,M,301.5,311.1,1396,43.5,112,0
5874,M,301.5,311.1,1660,33.8,115,0
5875,M,301.5,311.0,1577,39.7,118,0
5876,L,301.5,311.1,1426,52.1,121,0
5877,L,301.5,311.1,1458,41.4,123,0
5878,L,301.4,311.0,1533,45.8,125,0
5879,L,301.4,311.0,1701,28.4,127,0
5880,L,301.5,311.1,1434,49.6,129,0
5881,L,301.4,311.1,1952,22.7,131,0
5882,L,301.4,311.1,1469,36.9,133,0
5883,L,301.4,311.1,1800,26.0,135,0
5884,M,301.3,311.1,1438,43.0,137,0
5885,L,301.3,311.1,1647,28.2,140,0
5886,L,301.4,311.1,1494,41.9,142,0
5887,H,301.4,311.1,1445,41.4,144,0
5888,M,301.5,311.1,1507,38.6,149,0
5889,M,301.4,311.0,1234,55.8,152,0
5890,L,301.4,311.0,1634,32.6,155,0
5891,L,301.4,311.0,1334,53.3,157,0
5892,L,301.4,311.1,1472,44.5,159,0
5893,M,301.3,311.0,1410,52.7,161,0
5894,L,301.2,310.9,1597,37.9,164,0
5895,M,301.2,310.9,1460,46.7,166,0
5896,L,301.1,310.8,1274,55.7,169,0
5897,M,301.0,310.7,1517,40.2,171,0
5898,L,301.0,310.7,1300,57.2,174,0
5899,H,300.9,310.6,1686,27.7,176,0
5900,M,300.9,310.7,1485,41.0,181,0
5901,L,301.0,310.7,1464,45.8,184,0
5902,L,300.9,310.6,1598,35.4,186,0
5903,L,300.9,310.5,1894,21.9,188,0
5904,M,300.8,310.5,1330,59.0,190,0
5905,H,300.8,310.5,1582,31.1,193,0
5906,L,300.7,310.3,1533,35.6,198,0
5907,H,300.8,310.4,1419,46.4,200,0
5908,M,300.8,310.3,1526,36.3,205,0
5909,H,300.7,310.2,1364,65.3,208,1
5910,M,300.8,310.3,1458,43.4,0,0
5911,M,300.8,310.4,1288,64.0,3,0
5912,M,300.7,310.3,1659,29.8,6,0
5913,H,300.7,310.2,1479,52.3,9,0
5914,L,300.7,310.3,1592,36.0,14,0
5915,M,300.6,310.2,1532,38.7,16,0
5916,L,300.6,310.2,1555,41.9,19,0
5917,L,300.6,310.2,1341,52.6,21,0
5918,L,300.6,310.1,1541,42.0,23,0
5919,L,300.6,310.3,1414,50.6,25,0
5920,L,300.5,310.2,1764,25.9,27,0
5921,L,300.5,310.3,1336,57.1,29,0
5922,L,300.5,310.3,1435,43.3,31,0
5923,M,300.4,310.3,1537,35.0,33,0
5924,L,300.3,310.2,1369,48.8,36,0
5925,M,300.2,310.1,1619,31.3,38,0
5926,L,300.2,310.1,1440,51.1,41,0
5927,L,300.2,310.1,1649,30.5,43,0
5928,M,300.2,310.1,1550,38.7,45,0
5929,L,300.3,310.2,1471,45.2,48,0
5930,L,300.3,310.3,1483,51.6,50,0
5931,L,300.3,310.4,1336,54.4,52,0
5932,L,300.5,310.5,1515,36.6,54,0
5933,L,300.5,310.5,1373,47.4,56,0
5934,H,300.6,310.5,1454,51.2,58,0
5935,L,300.5,310.5,1646,34.5,63,0
5936,M,300.5,310.4,1548,37.3,65,0
5937,M,300.6,310.5,1462,41.3,68,0
5938,L,300.5,310.4,1702,33.1,71,0
5939,L,300.5,310.5,1409,60.9,73,0
5940,M,300.6,310.6,1427,52.8,75,0
5941,L,300.6,310.7,1438,48.5,78,1
5942,L,300.7,310.7,1450,43.4,80,0
5943,L,300.7,310.7,1541,41.3,82,0
5944,M,300.7,310.6,1484,38.0,84,0
5945,M,300.8,310.8,1415,44.5,87,0
5946,L,300.7,310.8,1496,46.4,90,0
5947,M,300.7,310.8,1465,45.2,92,0
5948,L,300.7,310.8,2113,18.5,95,0
5949,M,300.7,310.8,1506,44.0,97,0
5950,L,300.7,310.8,1689,28.9,100,0
5951,L,300.7,310.9,1650,29.4,102,0
5952,L,300.7,310.8,1563,33.8,104,0
5953,M,300.7,310.9,1486,38.9,106,0
5954,L,300.8,310.9,1732,25.7,109,0
5955,L,300.7,310.8,1653,31.6,111,0
5956,L,300.7,310.9,1535,37.1,113,0
5957,L,300.7,310.9,1637,37.2,115,0
5958,L,300.6,310.8,1533,38.5,117,0
5959,L,300.6,310.8,1378,51.2,119,0
5960,L,300.5,310.7,1606,33.5,121,0
5961,L,300.3,310.7,1539,32.3,123,0
5962,L,300.5,310.8,1728,26.3,125,0
5963,H,300.4,310.7,1656,36.3,127,0
5964,H,300.5,310.8,1631,30.5,132,0
5965,H,300.5,310.9,1447,46.5,137,0
5966,L,300.4,310.8,1396,49.3,142,0
5967,L,300.4,310.8,1390,52.5,144,0
5968,L,300.4,310.8,1348,56.0,146,0
5969,M,300.4,310.8,1491,35.9,148,0
5970,L,300.4,310.8,1520,37.6,151,0
5971,L,300.5,310.8,1509,33.0,153,0
5972,L,300.5,310.8,1445,46.6,155,0
5973,L,300.5,310.8,1354,51.8,157,0
5974,L,300.5,310.7,1488,39.4,159,0
5975,H,300.5,310.7,1654,28.6,161,0
5976,H,300.5,310.6,1378,51.5,166,0
5977,L,300.6,310.7,1750,30.6,171,0
5978,L,300.5,310.6,1448,46.3,173,0
5979,H,300.6,310.7,1501,45.3,175,0
5980,M,300.6,310.7,1654,32.0,180,0
5981,M,300.7,310.7,1347,46.5,183,0
5982,L,300.7,310.8,1486,37.1,186,0
5983,H,300.8,310.8,1466,45.2,188,0
5984,H,300.7,310.8,1346,52.0,193,0
5985,L,300.7,310.7,1314,42.4,198,0
5986,L,300.6,310.7,1440,52.5,200,0
5987,L,300.7,310.8,1608,39.5,202,0
5988,H,300.7,310.8,1296,58.2,204,0
5989,L,300.7,310.7,1507,46.1,209,0
5990,M,300.7,310.7,1343,51.6,211,0
5991,L,300.7,310.7,1416,40.4,214,0
5992,L,300.7,310.6,1288,47.2,216,0
5993,M,300.7,310.6,1407,42.4,218,0
5994,L,300.6,310.4,1608,39.2,221,0
5995,L,300.6,310.3,1920,22.3,223,0
5996,M,300.5,310.2,1386,48.2,225,0
5997,M,300.5,310.2,1571,34.6,228,0
5998,M,300.4,310.2,1613,36.9,231,0
5999,M,300.4,310.2,1671,30.5,234,1
6000,H,300.4,310.2,1431,43.2,0,0
6001,M,300.4,310.2,1380,47.3,5,0
6002,L,300.5,310.3,1683,31.5,8,0
6003,L,300.4,310.2,1529,36.2,10,0
6004,L,300.5,310.4,1761,26.5,12,0
6005,L,300.6,310.5,1570,38.3,14,0
6006,M,300.6,310.5,2156,18.0,16,0
6007,M,300.7,310.6,1349,54.5,19,0
6008,L,300.7,310.7,1431,39.3,22,0
6009,L,300.6,310.6,1931,22.0,24,0
6010,H,300.7,310.7,1428,43.4,26,0
6011,L,300.8,310.8,1564,36.2,31,0
6012,H,300.8,310.9,1425,44.0,33,0
6013,L,300.7,310.8,1597,30.5,38,0
6014,H,300.8,310.8,1618,32.8,40,0
6015,M,300.8,310.8,1520,38.0,45,0
6016,L,300.7,310.7,1425,45.3,48,0
6017,L,300.8,310.9,1398,38.2,50,0
6018,M,300.8,310.9,1557,31.6,52,0
6019,L,300.7,310.8,1519,43.9,55,0
6020,L,300.7,310.8,1619,34.9,57,0
6021,L,300.7,310.8,1814,21.4,59,0
6022,L,300.7,310.9,1521,39.4,61,0
6023,M,300.7,310.9,1369,51.2,63,0
6024,L,300.7,310.9,1356,65.3,66,1
6025,L,300.7,311.0,1336,53.3,68,0
6026,L,300.7,311.0,1403,48.3,70,0
6027,M,300.7,311.0,1413,44.3,72,0
6028,L,300.6,310.9,1472,47.6,75,0
6029,M,300.7,310.8,1452,47.9,77,0
6030,L,300.6,310.7,1397,53.7,80,0
6031,L,300.6,310.7,1455,40.6,82,0
6032,L,300.7,310.8,1754,27.7,84,0
6033,L,300.6,310.9,1471,37.9,86,0
6034,M,300.6,310.8,1389,48.1,88,0
6035,M,300.6,310.9,1702,30.3,91,0
6036,M,300.6,311.0,1401,54.6,94,0
6037,L,300.7,311.1,1426,46.2,97,0
6038,L,300.7,311.0,1496,38.3,99,0
6039,L,300.6,310.9,1433,42.6,101,0
6040,M,300.7,311.1,1438,46.6,103,0
6041,M,300.7,311.0,1418,49.3,106,0
6042,M,300.8,311.0,1580,36.6,109,0
6043,M,300.7,310.9,1468,41.8,112,0
6044,M,300.8,310.9,1522,41.7,115,0
6045,L,300.8,310.9,1311,55.8,118,0
6046,L,300.9,311.0,1316,56.5,120,0
6047,H,300.9,311.0,1853,23.6,122,0
6048,M,300.9,311.0,1556,38.8,127,0
6049,M,300.9,311.0,1567,34.3,130,0
6050,M,300.9,311.1,1546,37.7,133,0
6051,L,300.9,311.0,1382,51.2,136,0
6052,L,300.9,311.0,2003,20.2,138,0
6053,L,300.8,310.9,1748,29.9,140,0
6054,H,300.7,310.8,1518,40.1,142,0
6055,L,300.7,310.8,1475,42.0,147,0
6056,L,300.8,310.8,1634,29.2,149,0
6057,L,300.8,310.8,1689,32.9,151,0
6058,M,300.9,310.9,1636,35.3,153,0
6059,L,300.9,311.0,2235,15.8,156,0
6060,L,301.0,311.1,1615,35.6,158,0
6061,H,301.1,311.1,1618,29.5,160,0
6062,M,301.1,311.2,1407,53.0,165,0
6063,L,301.1,311.1,1450,43.3,168,0
6064,L,301.1,311.1,1889,23.8,170,0
6065,L,301.0,310.9,1568,38.2,172,0
6066,L,301.0,311.0,1804,25.8,174,0
6067,L,301.0,311.0,1582,37.5,176,0
6068,M,301.0,310.9,2047,17.9,178,0
6069,L,300.9,310.9,1601,34.0,181,0
6070,L,300.9,310.9,1615,32.0,183,0
6071,M,300.9,310.8,1452,43.6,185,0
6072,M,300.9,310.8,1695,30.2,188,0
6073,M,300.9,310.8,1790,26.2,191,0
6074,M,301.0,310.8,1533,39.3,194,0
6075,L,301.0,310.9,1813,28.5,197,0
6076,L,301.0,310.9,1492,36.7,199,0
6077,L,300.9,310.7,1479,43.3,201,0
6078,L,300.8,310.7,1339,59.1,203,1
6079,M,300.8,310.7,1371,44.7,205,0
6080,L,300.9,310.7,1468,36.2,208,0
6081,L,300.9,310.7,1517,41.7,210,0
6082,L,300.9,310.7,1352,46.4,212,0
6083,L,300.9,310.7,1389,50.0,214,0
6084,M,300.8,310.6,1505,36.2,0,0
6085,L,300.9,310.6,1538,36.7,3,0
6086,L,300.9,310.8,1482,37.0,5,0
6087,M,300.9,310.8,1599,33.0,7,0
6088,L,300.9,310.8,1476,39.0,10,0
6089,L,300.9,310.7,1509,37.5,12,0
6090,L,300.9,310.8,1708,29.1,14,0
6091,L,300.9,310.7,1412,57.5,16,0
6092,L,300.9,310.7,1658,28.5,18,0
6093,L,301.0,310.8,1375,57.2,20,0
6094,M,300.9,310.8,1402,48.1,22,0
6095,M,300.9,310.7,1452,47.3,25,0
6096,M,300.8,310.7,1483,40.8,28,0
6097,H,300.9,310.8,1477,38.4,31,0
6098,M,300.8,310.7,1924,22.4,36,0
6099,H,300.9,310.7,1609,28.7,39,0
6100,M,300.8,310.7,1886,21.1,44,0
6101,L,300.7,310.6,1616,29.6,47,0
6102,L,300.7,310.7,1442,43.2,49,0
6103,L,300.8,310.8,1407,45.1,51,0
6104,M,300.8,310.8,1461,41.3,53,0
6105,M,300.8,310.9,1522,46.2,56,0
6106,L,300.9,311.0,1432,48.1,59,0
6107,L,300.9,311.0,1438,49.0,61,0
6108,M,300.8,310.9,1678,28.1,63,0
6109,M,300.8,310.9,1514,38.7,66,0
6110,L,300.7,310.8,1534,41.3,69,0
6111,M,300.7,310.8,1486,41.2,71,0
6112,L,300.7,310.8,1925,22.0,74,0
6113,M,300.7,310.8,1724,30.0,76,0
6114,M,300.8,310.8,1549,35.5,79,0
6115,L,300.8,310.9,1457,47.7,82,0
6116,L,300.8,310.9,1453,43.9,84,0
6117,L,300.8,311.0,1578,44.4,86,0
6118,M,300.9,311.1,1325,61.4,88,0
6119,L,300.9,311.1,1471,39.3,91,0
6120,M,300.9,311.2,1472,40.0,93,0
6121,L,300.9,311.1,1457,37.4,96,0
6122,L,301.0,311.0,1402,55.3,98,0
6123,L,300.9,310.9,1477,41.5,100,0
6124,M,300.9,310.9,1727,30.1,102,0
6125,L,300.9,310.9,1995,20.2,105,0
6126,L,300.9,310.9,1370,52.5,107,0
6127,L,300.9,310.9,1228,66.4,109,0
6128,L,300.9,311.0,1499,38.0,111,0
6129,M,301.0,311.0,1508,46.9,113,0
6130,L,301.0,310.9,1473,44.2,116,0
6131,H,301.0,311.0,1640,37.6,118,0
6132,L,301.1,311.1,1429,42.5,123,0
6133,L,301.1,311.1,1470,40.9,125,0
6134,L,301.0,311.0,1581,37.0,127,0
6135,L,301.0,310.9,1740,28.9,129,0
6136,H,300.9,310.8,1390,40.6,131,0
6137,M,300.9,310.8,1988,19.7,136,0
6138,M,300.8,310.7,1452,43.0,139,0
6139,L,300.8,310.7,1586,33.4,142,0
6140,L,300.8,310.7,1589,34.3,144,0
6141,L,300.8,310.8,1486,45.7,146,0
6142,L,300.9,310.9,1755,27.9,148,0
6143,M,301.0,310.9,1575,34.6,150,0
6144,M,301.1,311.1,1615,37.7,153,0
6145,M,301.1,311.1,1436,41.8,156,0
6146,M,301.1,311.1,1470,40.6,159,0
6147,M,301.1,311.1,2089,19.8,162,0
6148,L,301.1,311.2,1564,37.0,165,0
6149,M,301.0,311.1,1420,47.4,167,0
6150,L,301.1,311.1,1711,29.1,170,0
6151,L,301.1,311.2,1555,35.3,172,0
6152,M,301.1,311.1,1592,35.7,174,0
6153,L,301.0,311.1,1236,64.4,177,1
6154,M,301.0,310.9,1765,24.2,179,0
6155,L,301.0,311.0,1634,31.2,182,0
6156,L,301.1,311.1,1508,41.5,184,0
6157,L,301.1,311.2,1774,29.6,186,0
6158,L,301.1,311.0,1677,29.1,188,0
6159,L,301.0,311.0,1399,58.0,190,1
6160,L,301.0,310.9,1570,34.0,192,0
6161,L,301.0,310.9,1479,44.3,194,0
6162,L,301.0,310.8,1558,34.9,196,0
6163,L,300.8,310.7,1358,48.1,198,0
6164,H,300.9,310.7,1656,30.7,200,0
6165,L,300.9,310.7,1523,35.8,205,0
6166,H,300.9,310.7,1403,40.6,207,0
6167,M,300.9,310.7,1362,51.6,212,0
6168,M,300.7,310.6,1778,27.1,215,0
6169,L,300.7,310.5,1448,38.2,218,0
6170,H,300.8,310.5,1559,40.1,220,0
6171,L,300.8,310.6,1416,42.2,225,0
6172,L,300.8,310.6,1577,37.9,227,1
6173,L,300.8,310.7,1633,27.8,0,0
6174,L,300.9,310.7,1573,31.2,2,0
6175,L,300.9,310.8,1517,44.3,4,0
6176,L,301.0,310.9,1515,37.3,6,0
6177,L,301.0,310.8,1527,45.3,8,0
6178,L,301.1,310.9,1282,67.9,10,1
6179,M,301.1,310.9,1396,45.1,12,0
6180,L,301.0,310.9,1492,44.6,15,0
6181,L,301.0,310.8,1975,19.7,17,0
6182,L,301.0,310.8,1475,35.3,19,0
6183,H,301.0,310.9,1495,37.3,21,0
6184,L,301.0,311.0,1553,35.8,26,0
6185,L,301.1,311.0,1918,21.7,28,0
6186,M,301.1,311.0,1413,46.6,30,0
6187,L,301.0,311.0,1437,56.0,33,0
6188,L,301.0,310.9,1450,45.9,35,0
6189,M,301.0,310.9,1910,21.9,37,0
6190,L,300.9,310.9,1749,26.4,40,0
6191,H,301.0,310.9,1916,22.0,42,0
6192,L,301.0,310.9,1428,45.3,47,0
6193,L,301.0,310.9,1578,38.4,49,0
6194,L,300.9,310.8,1571,39.9,51,0
6195,L,300.9,310.8,1729,30.2,53,0
6196,L,300.9,310.8,1701,30.4,55,0
6197,L,300.9,310.8,1493,45.8,57,0
6198,M,301.0,310.9,1554,32.7,59,0
6199,L,300.9,310.9,1497,43.2,62,0
6200,L,301.0,310.9,1679,29.8,64,0
6201,M,301.0,310.9,1510,44.5,66,0
6202,L,301.0,310.9,1296,54.9,69,0
6203,L,301.0,310.9,1404,41.8,71,0
6204,M,300.9,310.8,1519,34.9,73,0
6205,M,300.9,310.7,1696,27.3,76,0
6206,M,300.8,310.6,1669,28.4,79,0
6207,L,300.7,310.6,1447,40.7,82,0
6208,M,300.7,310.6,1418,46.3,84,0
6209,L,300.7,310.6,1407,40.5,87,0
6210,L,300.8,310.5,1434,44.5,89,0
6211,L,300.8,310.6,1360,48.8,91,0
6212,L,300.8,310.6,1402,53.7,93,0
6213,L,300.9,310.6,1552,34.9,95,0
6214,L,300.9,310.7,1392,44.2,97,0
6215,L,301.1,310.8,1521,41.0,99,0
6216,L,301.1,310.8,1724,27.5,101,0
6217,M,301.0,310.7,1455,46.1,103,0
6218,H,301.0,310.6,1366,50.6,106,0
6219,H,301.1,310.6,1407,43.9,111,0
6220,L,301.1,310.8,1470,49.3,116,0
